"Time Stamp","Time Zone","Name","PTID","Energy Bid Load","Bilateral Load","Price Cap Load","Virtual Load","Virtual Supply"
"08/03/2018 00:00:00","EDT","CAPITL",61757,1243,177,0,2,-14
"08/03/2018 00:00:00","EDT","CENTRL",61754,1170,1456,0,13,-1165
"08/03/2018 00:00:00","EDT","DUNWOD",61760,208,253,301,88,-69
"08/03/2018 00:00:00","EDT","GENESE",61753,805,224,0,13,-50
"08/03/2018 00:00:00","EDT","HUD VL",61758,765,144,242,115,0
"08/03/2018 00:00:00","EDT","LONGIL",61762,1594,1445,0,94,-172
"08/03/2018 00:00:00","EDT","MHK VL",61756,529,179,0,17,-118
"08/03/2018 00:00:00","EDT","MILLWD",61759,158,75,56,57,-5
"08/03/2018 00:00:00","EDT","N.Y.C.",61761,2758,1829,2308,289,-4
"08/03/2018 00:00:00","EDT","NORTH",61755,92,342,0,33,-169
"08/03/2018 00:00:00","EDT","WEST",61752,1045,647,0,87,-42
"08/03/2018 01:00:00","EDT","CAPITL",61757,1142,212,0,14,-17
"08/03/2018 01:00:00","EDT","CENTRL",61754,1127,1447,0,17,-1173
"08/03/2018 01:00:00","EDT","DUNWOD",61760,195,245,276,140,-69
"08/03/2018 01:00:00","EDT","GENESE",61753,754,220,0,55,-56
"08/03/2018 01:00:00","EDT","HUD VL",61758,733,141,221,96,-18
"08/03/2018 01:00:00","EDT","LONGIL",61762,1383,1445,0,94,-113
"08/03/2018 01:00:00","EDT","MHK VL",61756,499,175,0,34,-122
"08/03/2018 01:00:00","EDT","MILLWD",61759,167,70,51,66,-5
"08/03/2018 01:00:00","EDT","N.Y.C.",61761,2650,1789,2103,486,-4
"08/03/2018 01:00:00","EDT","NORTH",61755,90,340,0,24,-165
"08/03/2018 01:00:00","EDT","WEST",61752,981,640,0,200,-36
"08/03/2018 02:00:00","EDT","CAPITL",61757,1076,231,0,13,-13
"08/03/2018 02:00:00","EDT","CENTRL",61754,1071,1441,0,17,-1167
"08/03/2018 02:00:00","EDT","DUNWOD",61760,190,234,260,105,-69
"08/03/2018 02:00:00","EDT","GENESE",61753,712,217,0,26,-100
"08/03/2018 02:00:00","EDT","HUD VL",61758,709,135,208,121,-9
"08/03/2018 02:00:00","EDT","LONGIL",61762,1238,1443,0,142,-49
"08/03/2018 02:00:00","EDT","MHK VL",61756,458,171,0,21,-118
"08/03/2018 02:00:00","EDT","MILLWD",61759,148,68,48,82,-3
"08/03/2018 02:00:00","EDT","N.Y.C.",61761,2577,1760,1970,287,0
"08/03/2018 02:00:00","EDT","NORTH",61755,88,336,0,18,-168
"08/03/2018 02:00:00","EDT","WEST",61752,927,629,0,177,-36
"08/03/2018 03:00:00","EDT","CAPITL",61757,1049,229,0,50,-30
"08/03/2018 03:00:00","EDT","CENTRL",61754,1047,1435,0,8,-1160
"08/03/2018 03:00:00","EDT","DUNWOD",61760,184,227,247,110,-69
"08/03/2018 03:00:00","EDT","GENESE",61753,695,220,0,6,-94
"08/03/2018 03:00:00","EDT","HUD VL",61758,697,133,200,121,-9
"08/03/2018 03:00:00","EDT","LONGIL",61762,1176,1443,0,142,-139
"08/03/2018 03:00:00","EDT","MHK VL",61756,452,172,0,14,-110
"08/03/2018 03:00:00","EDT","MILLWD",61759,148,66,46,86,-20
"08/03/2018 03:00:00","EDT","N.Y.C.",61761,2537,1771,1850,315,0
"08/03/2018 03:00:00","EDT","NORTH",61755,84,337,0,18,-186
"08/03/2018 03:00:00","EDT","WEST",61752,900,620,0,156,-36
"08/03/2018 04:00:00","EDT","CAPITL",61757,1050,236,0,130,-22
"08/03/2018 04:00:00","EDT","CENTRL",61754,1043,1441,0,5,-1158
"08/03/2018 04:00:00","EDT","DUNWOD",61760,185,222,238,111,-81
"08/03/2018 04:00:00","EDT","GENESE",61753,700,226,0,16,-94
"08/03/2018 04:00:00","EDT","HUD VL",61758,694,135,195,120,-21
"08/03/2018 04:00:00","EDT","LONGIL",61762,1161,1443,0,128,-155
"08/03/2018 04:00:00","EDT","MHK VL",61756,453,174,0,15,-110
"08/03/2018 04:00:00","EDT","MILLWD",61759,98,68,45,76,-12
"08/03/2018 04:00:00","EDT","N.Y.C.",61761,2561,1803,1739,310,0
"08/03/2018 04:00:00","EDT","NORTH",61755,86,337,0,16,-231
"08/03/2018 04:00:00","EDT","WEST",61752,891,634,0,174,-36
"08/03/2018 05:00:00","EDT","CAPITL",61757,1136,195,0,56,-272
"08/03/2018 05:00:00","EDT","CENTRL",61754,1103,1462,0,5,-1155
"08/03/2018 05:00:00","EDT","DUNWOD",61760,194,227,241,338,-81
"08/03/2018 05:00:00","EDT","GENESE",61753,735,241,0,6,-44
"08/03/2018 05:00:00","EDT","HUD VL",61758,714,139,196,116,-57
"08/03/2018 05:00:00","EDT","LONGIL",61762,1226,1446,0,119,-133
"08/03/2018 05:00:00","EDT","MHK VL",61756,482,185,0,15,-108
"08/03/2018 05:00:00","EDT","MILLWD",61759,90,68,45,68,-12
"08/03/2018 05:00:00","EDT","N.Y.C.",61761,2679,1870,1746,380,0
"08/03/2018 05:00:00","EDT","NORTH",61755,88,339,0,18,-162
"08/03/2018 05:00:00","EDT","WEST",61752,921,652,0,135,-36
"08/03/2018 06:00:00","EDT","CAPITL",61757,1306,115,0,66,-273
"08/03/2018 06:00:00","EDT","CENTRL",61754,1161,1502,0,64,-1107
"08/03/2018 06:00:00","EDT","DUNWOD",61760,209,245,253,306,-179
"08/03/2018 06:00:00","EDT","GENESE",61753,799,260,0,2,-6
"08/03/2018 06:00:00","EDT","HUD VL",61758,752,145,200,85,-45
"08/03/2018 06:00:00","EDT","LONGIL",61762,1377,1448,0,99,-45
"08/03/2018 06:00:00","EDT","MHK VL",61756,526,196,0,24,-92
"08/03/2018 06:00:00","EDT","MILLWD",61759,134,72,47,28,0
"08/03/2018 06:00:00","EDT","N.Y.C.",61761,2888,2016,1847,313,0
"08/03/2018 06:00:00","EDT","NORTH",61755,97,347,0,43,-146
"08/03/2018 06:00:00","EDT","WEST",61752,974,679,0,163,-57
"08/03/2018 07:00:00","EDT","CAPITL",61757,1459,74,0,62,-376
"08/03/2018 07:00:00","EDT","CENTRL",61754,1254,1534,0,57,-1110
"08/03/2018 07:00:00","EDT","DUNWOD",61760,295,217,274,331,-198
"08/03/2018 07:00:00","EDT","GENESE",61753,867,278,0,2,-65
"08/03/2018 07:00:00","EDT","HUD VL",61758,800,156,218,41,-271
"08/03/2018 07:00:00","EDT","LONGIL",61762,1646,1452,0,87,-101
"08/03/2018 07:00:00","EDT","MHK VL",61756,564,213,0,14,-133
"08/03/2018 07:00:00","EDT","MILLWD",61759,166,80,49,27,-108
"08/03/2018 07:00:00","EDT","N.Y.C.",61761,3297,2194,2024,333,-150
"08/03/2018 07:00:00","EDT","NORTH",61755,105,360,0,8,-268
"08/03/2018 07:00:00","EDT","WEST",61752,1079,715,0,264,-51
"08/03/2018 08:00:00","EDT","CAPITL",61757,1558,73,0,73,-364
"08/03/2018 08:00:00","EDT","CENTRL",61754,1304,1564,0,76,-1126
"08/03/2018 08:00:00","EDT","DUNWOD",61760,403,138,293,345,-262
"08/03/2018 08:00:00","EDT","GENESE",61753,914,292,0,33,-133
"08/03/2018 08:00:00","EDT","HUD VL",61758,863,171,241,13,-317
"08/03/2018 08:00:00","EDT","LONGIL",61762,1932,1464,0,56,-139
"08/03/2018 08:00:00","EDT","MHK VL",61756,595,226,0,20,-154
"08/03/2018 08:00:00","EDT","MILLWD",61759,196,80,53,6,-68
"08/03/2018 08:00:00","EDT","N.Y.C.",61761,3604,2310,2138,250,-150
"08/03/2018 08:00:00","EDT","NORTH",61755,109,368,0,8,-274
"08/03/2018 08:00:00","EDT","WEST",61752,1163,745,0,233,-36
"08/03/2018 09:00:00","EDT","CAPITL",61757,1637,71,0,82,-183
"08/03/2018 09:00:00","EDT","CENTRL",61754,1378,1585,0,35,-1136
"08/03/2018 09:00:00","EDT","DUNWOD",61760,460,110,311,82,-221
"08/03/2018 09:00:00","EDT","GENESE",61753,964,302,0,14,-187
"08/03/2018 09:00:00","EDT","HUD VL",61758,889,179,264,5,-365
"08/03/2018 09:00:00","EDT","LONGIL",61762,2180,1468,0,54,-210
"08/03/2018 09:00:00","EDT","MHK VL",61756,631,233,0,50,-167
"08/03/2018 09:00:00","EDT","MILLWD",61759,244,56,56,2,-35
"08/03/2018 09:00:00","EDT","N.Y.C.",61761,3869,2317,2286,327,-178
"08/03/2018 09:00:00","EDT","NORTH",61755,120,374,0,8,-258
"08/03/2018 09:00:00","EDT","WEST",61752,1168,826,0,396,-50
"08/03/2018 10:00:00","EDT","CAPITL",61757,1701,72,0,4,-214
"08/03/2018 10:00:00","EDT","CENTRL",61754,1438,1597,0,79,-1130
"08/03/2018 10:00:00","EDT","DUNWOD",61760,483,107,342,119,-209
"08/03/2018 10:00:00","EDT","GENESE",61753,1008,310,0,2,-185
"08/03/2018 10:00:00","EDT","HUD VL",61758,934,186,285,10,-348
"08/03/2018 10:00:00","EDT","LONGIL",61762,2440,1469,0,121,-81
"08/03/2018 10:00:00","EDT","MHK VL",61756,658,238,0,11,-203
"08/03/2018 10:00:00","EDT","MILLWD",61759,296,20,64,2,-38
"08/03/2018 10:00:00","EDT","N.Y.C.",61761,4018,2196,2520,460,-150
"08/03/2018 10:00:00","EDT","NORTH",61755,122,380,0,7,-204
"08/03/2018 10:00:00","EDT","WEST",61752,1210,856,0,418,-40
"08/03/2018 11:00:00","EDT","CAPITL",61757,1730,72,0,14,-537
"08/03/2018 11:00:00","EDT","CENTRL",61754,1472,1601,0,63,-1122
"08/03/2018 11:00:00","EDT","DUNWOD",61760,499,103,363,559,-146
"08/03/2018 11:00:00","EDT","GENESE",61753,1040,314,0,5,-145
"08/03/2018 11:00:00","EDT","HUD VL",61758,988,175,303,22,-418
"08/03/2018 11:00:00","EDT","LONGIL",61762,2669,1470,0,160,-24
"08/03/2018 11:00:00","EDT","MHK VL",61756,674,242,0,9,-168
"08/03/2018 11:00:00","EDT","MILLWD",61759,283,21,68,12,0
"08/03/2018 11:00:00","EDT","N.Y.C.",61761,4081,2158,2653,825,-166
"08/03/2018 11:00:00","EDT","NORTH",61755,129,381,0,21,-184
"08/03/2018 11:00:00","EDT","WEST",61752,1258,866,0,462,-35
"08/03/2018 12:00:00","EDT","CAPITL",61757,1740,69,0,2,-546
"08/03/2018 12:00:00","EDT","CENTRL",61754,1522,1602,0,55,-1129
"08/03/2018 12:00:00","EDT","DUNWOD",61760,510,107,379,614,-71
"08/03/2018 12:00:00","EDT","GENESE",61753,1067,317,0,9,-67
"08/03/2018 12:00:00","EDT","HUD VL",61758,1028,176,319,76,-387
"08/03/2018 12:00:00","EDT","LONGIL",61762,2839,1473,0,150,-38
"08/03/2018 12:00:00","EDT","MHK VL",61756,682,241,0,0,-142
"08/03/2018 12:00:00","EDT","MILLWD",61759,291,20,72,75,-2
"08/03/2018 12:00:00","EDT","N.Y.C.",61761,4134,2152,2748,925,-155
"08/03/2018 12:00:00","EDT","NORTH",61755,127,381,0,6,-290
"08/03/2018 12:00:00","EDT","WEST",61752,1290,860,0,397,-41
"08/03/2018 13:00:00","EDT","CAPITL",61757,1753,70,0,5,-531
"08/03/2018 13:00:00","EDT","CENTRL",61754,1543,1605,0,14,-1144
"08/03/2018 13:00:00","EDT","DUNWOD",61760,517,113,392,730,-19
"08/03/2018 13:00:00","EDT","GENESE",61753,1091,317,0,13,-80
"08/03/2018 13:00:00","EDT","HUD VL",61758,1081,168,331,99,-493
"08/03/2018 13:00:00","EDT","LONGIL",61762,2973,1475,0,274,-152
"08/03/2018 13:00:00","EDT","MHK VL",61756,680,241,0,17,-126
"08/03/2018 13:00:00","EDT","MILLWD",61759,314,23,76,90,-3
"08/03/2018 13:00:00","EDT","N.Y.C.",61761,4153,2154,2821,1136,-155
"08/03/2018 13:00:00","EDT","NORTH",61755,131,381,0,0,-193
"08/03/2018 13:00:00","EDT","WEST",61752,1330,871,0,420,-42
"08/03/2018 14:00:00","EDT","CAPITL",61757,1754,69,0,11,-520
"08/03/2018 14:00:00","EDT","CENTRL",61754,1542,1596,0,3,-1149
"08/03/2018 14:00:00","EDT","DUNWOD",61760,518,113,400,742,-13
"08/03/2018 14:00:00","EDT","GENESE",61753,1067,350,0,1,-82
"08/03/2018 14:00:00","EDT","HUD VL",61758,1091,180,338,95,-487
"08/03/2018 14:00:00","EDT","LONGIL",61762,3082,1476,0,330,-150
"08/03/2018 14:00:00","EDT","MHK VL",61756,681,241,0,9,-141
"08/03/2018 14:00:00","EDT","MILLWD",61759,312,22,78,110,-2
"08/03/2018 14:00:00","EDT","N.Y.C.",61761,4149,2160,2890,1169,-55
"08/03/2018 14:00:00","EDT","NORTH",61755,129,379,0,7,-135
"08/03/2018 14:00:00","EDT","WEST",61752,1217,1013,0,411,-38
"08/03/2018 15:00:00","EDT","CAPITL",61757,1737,67,0,19,-528
"08/03/2018 15:00:00","EDT","CENTRL",61754,1573,1582,0,63,-1140
"08/03/2018 15:00:00","EDT","DUNWOD",61760,526,128,398,759,-61
"08/03/2018 15:00:00","EDT","GENESE",61753,1075,342,0,16,-222
"08/03/2018 15:00:00","EDT","HUD VL",61758,1093,193,341,93,-394
"08/03/2018 15:00:00","EDT","LONGIL",61762,3144,1479,0,236,-91
"08/03/2018 15:00:00","EDT","MHK VL",61756,671,232,0,15,-131
"08/03/2018 15:00:00","EDT","MILLWD",61759,276,52,78,146,-10
"08/03/2018 15:00:00","EDT","N.Y.C.",61761,4111,2147,2889,1242,-55
"08/03/2018 15:00:00","EDT","NORTH",61755,128,377,0,21,-296
"08/03/2018 15:00:00","EDT","WEST",61752,1242,989,0,311,-54
"08/03/2018 16:00:00","EDT","CAPITL",61757,1721,63,0,16,-318
"08/03/2018 16:00:00","EDT","CENTRL",61754,1592,1563,0,12,-1156
"08/03/2018 16:00:00","EDT","DUNWOD",61760,513,136,389,471,-61
"08/03/2018 16:00:00","EDT","GENESE",61753,1077,331,0,15,-237
"08/03/2018 16:00:00","EDT","HUD VL",61758,1093,189,343,93,-286
"08/03/2018 16:00:00","EDT","LONGIL",61762,3162,1479,0,265,-146
"08/03/2018 16:00:00","EDT","MHK VL",61756,672,226,0,2,-107
"08/03/2018 16:00:00","EDT","MILLWD",61759,258,95,76,167,-4
"08/03/2018 16:00:00","EDT","N.Y.C.",61761,4008,2250,2776,1348,-55
"08/03/2018 16:00:00","EDT","NORTH",61755,133,374,0,23,-277
"08/03/2018 16:00:00","EDT","WEST",61752,1257,982,0,349,-44
"08/03/2018 17:00:00","EDT","CAPITL",61757,1711,63,0,6,-279
"08/03/2018 17:00:00","EDT","CENTRL",61754,1587,1543,0,0,-1128
"08/03/2018 17:00:00","EDT","DUNWOD",61760,447,206,392,440,-157
"08/03/2018 17:00:00","EDT","GENESE",61753,1082,317,0,8,-240
"08/03/2018 17:00:00","EDT","HUD VL",61758,1097,181,343,128,-271
"08/03/2018 17:00:00","EDT","LONGIL",61762,3082,1478,0,268,-74
"08/03/2018 17:00:00","EDT","MHK VL",61756,660,218,0,2,-92
"08/03/2018 17:00:00","EDT","MILLWD",61759,269,106,77,170,-12
"08/03/2018 17:00:00","EDT","N.Y.C.",61761,3881,2335,2750,1270,-63
"08/03/2018 17:00:00","EDT","NORTH",61755,128,372,0,14,-276
"08/03/2018 17:00:00","EDT","WEST",61752,1251,956,0,338,-44
"08/03/2018 18:00:00","EDT","CAPITL",61757,1689,61,0,12,-236
"08/03/2018 18:00:00","EDT","CENTRL",61754,1585,1530,0,3,-1214
"08/03/2018 18:00:00","EDT","DUNWOD",61760,392,225,389,262,-114
"08/03/2018 18:00:00","EDT","GENESE",61753,1096,275,0,10,-131
"08/03/2018 18:00:00","EDT","HUD VL",61758,1091,178,338,25,-289
"08/03/2018 18:00:00","EDT","LONGIL",61762,2914,1476,0,252,-82
"08/03/2018 18:00:00","EDT","MHK VL",61756,646,207,0,7,-107
"08/03/2018 18:00:00","EDT","MILLWD",61759,257,102,79,44,-8
"08/03/2018 18:00:00","EDT","N.Y.C.",61761,3661,2274,2735,1084,-81
"08/03/2018 18:00:00","EDT","NORTH",61755,126,369,0,13,-209
"08/03/2018 18:00:00","EDT","WEST",61752,1366,794,0,279,-59
"08/03/2018 19:00:00","EDT","CAPITL",61757,1693,67,0,4,-226
"08/03/2018 19:00:00","EDT","CENTRL",61754,1536,1520,0,2,-1168
"08/03/2018 19:00:00","EDT","DUNWOD",61760,351,246,378,228,-110
"08/03/2018 19:00:00","EDT","GENESE",61753,1070,260,0,8,-128
"08/03/2018 19:00:00","EDT","HUD VL",61758,1071,175,323,27,-283
"08/03/2018 19:00:00","EDT","LONGIL",61762,2676,1468,0,295,-35
"08/03/2018 19:00:00","EDT","MHK VL",61756,643,203,0,24,-109
"08/03/2018 19:00:00","EDT","MILLWD",61759,242,98,77,47,-5
"08/03/2018 19:00:00","EDT","N.Y.C.",61761,3514,2209,2698,1052,-79
"08/03/2018 19:00:00","EDT","NORTH",61755,125,367,0,14,-234
"08/03/2018 19:00:00","EDT","WEST",61752,1331,774,0,227,-72
"08/03/2018 20:00:00","EDT","CAPITL",61757,1710,67,0,5,-210
"08/03/2018 20:00:00","EDT","CENTRL",61754,1555,1518,0,51,-1184
"08/03/2018 20:00:00","EDT","DUNWOD",61760,341,261,374,234,-196
"08/03/2018 20:00:00","EDT","GENESE",61753,1061,256,0,1,-111
"08/03/2018 20:00:00","EDT","HUD VL",61758,1048,175,320,165,-424
"08/03/2018 20:00:00","EDT","LONGIL",61762,2613,1467,0,250,-55
"08/03/2018 20:00:00","EDT","MHK VL",61756,646,206,0,47,-111
"08/03/2018 20:00:00","EDT","MILLWD",61759,247,106,75,63,-34
"08/03/2018 20:00:00","EDT","N.Y.C.",61761,3414,2184,2728,626,-83
"08/03/2018 20:00:00","EDT","NORTH",61755,121,367,0,1,-213
"08/03/2018 20:00:00","EDT","WEST",61752,1313,758,0,220,-71
"08/03/2018 21:00:00","EDT","CAPITL",61757,1661,62,0,22,-125
"08/03/2018 21:00:00","EDT","CENTRL",61754,1506,1503,0,68,-1204
"08/03/2018 21:00:00","EDT","DUNWOD",61760,294,296,369,164,-219
"08/03/2018 21:00:00","EDT","GENESE",61753,1031,247,0,21,-134
"08/03/2018 21:00:00","EDT","HUD VL",61758,1015,171,308,41,-379
"08/03/2018 21:00:00","EDT","LONGIL",61762,2451,1466,0,326,-30
"08/03/2018 21:00:00","EDT","MHK VL",61756,620,202,0,2,-114
"08/03/2018 21:00:00","EDT","MILLWD",61759,233,101,72,44,-38
"08/03/2018 21:00:00","EDT","N.Y.C.",61761,3332,2105,2747,412,-67
"08/03/2018 21:00:00","EDT","NORTH",61755,117,362,0,0,-244
"08/03/2018 21:00:00","EDT","WEST",61752,1357,679,0,166,-56
"08/03/2018 22:00:00","EDT","CAPITL",61757,1502,102,0,3,-88
"08/03/2018 22:00:00","EDT","CENTRL",61754,1375,1478,0,65,-1194
"08/03/2018 22:00:00","EDT","DUNWOD",61760,230,296,351,50,-271
"08/03/2018 22:00:00","EDT","GENESE",61753,946,229,0,1,-144
"08/03/2018 22:00:00","EDT","HUD VL",61758,938,154,286,3,-363
"08/03/2018 22:00:00","EDT","LONGIL",61762,2180,1450,0,216,-198
"08/03/2018 22:00:00","EDT","MHK VL",61756,577,184,0,18,-141
"08/03/2018 22:00:00","EDT","MILLWD",61759,162,88,67,26,-37
"08/03/2018 22:00:00","EDT","N.Y.C.",61761,3167,2009,2635,337,-66
"08/03/2018 22:00:00","EDT","NORTH",61755,106,354,0,2,-290
"08/03/2018 22:00:00","EDT","WEST",61752,1257,655,0,125,-50
"08/03/2018 23:00:00","EDT","CAPITL",61757,1295,173,0,5,-22
"08/03/2018 23:00:00","EDT","CENTRL",61754,1251,1455,0,17,-1187
"08/03/2018 23:00:00","EDT","DUNWOD",61760,211,268,317,53,-140
"08/03/2018 23:00:00","EDT","GENESE",61753,863,221,0,30,-94
"08/03/2018 23:00:00","EDT","HUD VL",61758,860,144,259,5,-121
"08/03/2018 23:00:00","EDT","LONGIL",61762,1857,1448,0,202,-226
"08/03/2018 23:00:00","EDT","MHK VL",61756,531,173,0,14,-118
"08/03/2018 23:00:00","EDT","MILLWD",61759,139,81,60,27,-38
"08/03/2018 23:00:00","EDT","N.Y.C.",61761,2911,1893,2404,304,-28
"08/03/2018 23:00:00","EDT","NORTH",61755,98,346,0,20,-240
"08/03/2018 23:00:00","EDT","WEST",61752,1132,634,0,112,-46
