year,local_day,LOCAL_HOUR_END,tot_solar_mwh,_FREQ_
2019,1-Jan-19,1,,
2019,1-Jan-19,2,,
2019,1-Jan-19,3,,
2019,1-Jan-19,4,,
2019,1-Jan-19,5,,
2019,1-Jan-19,6,,
2019,1-Jan-19,7,2.196,10
2019,1-Jan-19,8,7.978,384
2019,1-Jan-19,9,56.889,753
2019,1-Jan-19,10,140.145,875
2019,1-Jan-19,11,338.454,989
2019,1-Jan-19,12,528.523,1055
2019,1-Jan-19,13,576.229,1064
2019,1-Jan-19,14,474.019,1025
2019,1-Jan-19,15,275.241,941
2019,1-Jan-19,16,78.204,741
2019,1-Jan-19,17,2.969,233
2019,1-Jan-19,18,,
2019,1-Jan-19,19,,
2019,1-Jan-19,20,,
2019,1-Jan-19,21,,
2019,1-Jan-19,22,,
2019,1-Jan-19,23,,
2019,1-Jan-19,24,,
2019,2-Jan-19,1,,
2019,2-Jan-19,2,,
2019,2-Jan-19,3,,
2019,2-Jan-19,4,,
2019,2-Jan-19,5,,
2019,2-Jan-19,6,,
2019,2-Jan-19,7,1.637,10
2019,2-Jan-19,8,13.704,651
2019,2-Jan-19,9,155.52,734
2019,2-Jan-19,10,412.315,876
2019,2-Jan-19,11,607.603,973
2019,2-Jan-19,12,630.838,988
2019,2-Jan-19,13,637.399,985
2019,2-Jan-19,14,474.572,930
2019,2-Jan-19,15,239.48,806
2019,2-Jan-19,16,62.409,722
2019,2-Jan-19,17,2.421,287
2019,2-Jan-19,18,,
2019,2-Jan-19,19,,
2019,2-Jan-19,20,,
2019,2-Jan-19,21,,
2019,2-Jan-19,22,,
2019,2-Jan-19,23,,
2019,2-Jan-19,24,,
2019,3-Jan-19,1,,
2019,3-Jan-19,2,,
2019,3-Jan-19,3,,
2019,3-Jan-19,4,,
2019,3-Jan-19,5,,
2019,3-Jan-19,6,,
2019,3-Jan-19,7,1.183,11
2019,3-Jan-19,8,1.44,25
2019,3-Jan-19,9,20.161,624
2019,3-Jan-19,10,129.376,751
2019,3-Jan-19,11,371.873,916
2019,3-Jan-19,12,509.973,967
2019,3-Jan-19,13,475.766,954
2019,3-Jan-19,14,392.353,913
2019,3-Jan-19,15,217.594,812
2019,3-Jan-19,16,67.991,719
2019,3-Jan-19,17,2.436,302
2019,3-Jan-19,18,,
2019,3-Jan-19,19,,
2019,3-Jan-19,20,,
2019,3-Jan-19,21,,
2019,3-Jan-19,22,,
2019,3-Jan-19,23,,
2019,3-Jan-19,24,,
2019,4-Jan-19,1,,
2019,4-Jan-19,2,,
2019,4-Jan-19,3,,
2019,4-Jan-19,4,,
2019,4-Jan-19,5,,
2019,4-Jan-19,6,,
2019,4-Jan-19,7,1.366,10
2019,4-Jan-19,8,15.922,659
2019,4-Jan-19,9,158.052,747
2019,4-Jan-19,10,395.507,884
2019,4-Jan-19,11,533.885,971
2019,4-Jan-19,12,585.801,993
2019,4-Jan-19,13,564.982,985
2019,4-Jan-19,14,387.908,913
2019,4-Jan-19,15,212.589,803
2019,4-Jan-19,16,74.571,724
2019,4-Jan-19,17,3.546,446
2019,4-Jan-19,18,,
2019,4-Jan-19,19,,
2019,4-Jan-19,20,,
2019,4-Jan-19,21,,
2019,4-Jan-19,22,,
2019,4-Jan-19,23,,
2019,4-Jan-19,24,,
2019,5-Jan-19,1,,
2019,5-Jan-19,2,,
2019,5-Jan-19,3,,
2019,5-Jan-19,4,,
2019,5-Jan-19,5,,
2019,5-Jan-19,6,,
2019,5-Jan-19,7,1.04,10
2019,5-Jan-19,8,1.657,140
2019,5-Jan-19,9,24.171,688
2019,5-Jan-19,10,55.869,745
2019,5-Jan-19,11,90.591,791
2019,5-Jan-19,12,101.234,803
2019,5-Jan-19,13,86.085,790
2019,5-Jan-19,14,62.337,758
2019,5-Jan-19,15,28.265,703
2019,5-Jan-19,16,7.153,465
2019,5-Jan-19,17,1.043,31
2019,5-Jan-19,18,,
2019,5-Jan-19,19,,
2019,5-Jan-19,20,,
2019,5-Jan-19,21,,
2019,5-Jan-19,22,,
2019,5-Jan-19,23,,
2019,5-Jan-19,24,,
2019,6-Jan-19,1,,
2019,6-Jan-19,2,,
2019,6-Jan-19,3,,
2019,6-Jan-19,4,,
2019,6-Jan-19,5,,
2019,6-Jan-19,6,,
2019,6-Jan-19,7,1.135,10
2019,6-Jan-19,8,8.874,522
2019,6-Jan-19,9,85.88,800
2019,6-Jan-19,10,211.38,937
2019,6-Jan-19,11,296.301,983
2019,6-Jan-19,12,354.629,1033
2019,6-Jan-19,13,402.038,1056
2019,6-Jan-19,14,355.285,1015
2019,6-Jan-19,15,218.23,942
2019,6-Jan-19,16,69.073,798
2019,6-Jan-19,17,4.886,424
2019,6-Jan-19,18,,
2019,6-Jan-19,19,,
2019,6-Jan-19,20,,
2019,6-Jan-19,21,,
2019,6-Jan-19,22,,
2019,6-Jan-19,23,,
2019,6-Jan-19,24,,
2019,7-Jan-19,1,,
2019,7-Jan-19,2,,
2019,7-Jan-19,3,,
2019,7-Jan-19,4,,
2019,7-Jan-19,5,,
2019,7-Jan-19,6,,
2019,7-Jan-19,7,0.685,10
2019,7-Jan-19,8,20.031,669
2019,7-Jan-19,9,190.019,764
2019,7-Jan-19,10,455.3,906
2019,7-Jan-19,11,633.573,980
2019,7-Jan-19,12,714.79,1009
2019,7-Jan-19,13,645.963,1005
2019,7-Jan-19,14,497.679,945
2019,7-Jan-19,15,300.683,843
2019,7-Jan-19,16,79.137,725
2019,7-Jan-19,17,6.42,475
2019,7-Jan-19,18,,
2019,7-Jan-19,19,,
2019,7-Jan-19,20,,
2019,7-Jan-19,21,,
2019,7-Jan-19,22,,
2019,7-Jan-19,23,,
2019,7-Jan-19,24,,
2019,8-Jan-19,1,,
2019,8-Jan-19,2,,
2019,8-Jan-19,3,,
2019,8-Jan-19,4,,
2019,8-Jan-19,5,,
2019,8-Jan-19,6,,
2019,8-Jan-19,7,1.931,10
2019,8-Jan-19,8,2.106,55
2019,8-Jan-19,9,10.776,405
2019,8-Jan-19,10,29.102,632
2019,8-Jan-19,11,46.716,702
2019,8-Jan-19,12,58.616,718
2019,8-Jan-19,13,75.138,721
2019,8-Jan-19,14,60.482,717
2019,8-Jan-19,15,38.042,709
2019,8-Jan-19,16,14.947,656
2019,8-Jan-19,17,1.413,68
2019,8-Jan-19,18,,
2019,8-Jan-19,19,,
2019,8-Jan-19,20,,
2019,8-Jan-19,21,,
2019,8-Jan-19,22,,
2019,8-Jan-19,23,,
2019,8-Jan-19,24,,
2019,9-Jan-19,1,,
2019,9-Jan-19,2,,
2019,9-Jan-19,3,,
2019,9-Jan-19,4,,
2019,9-Jan-19,5,,
2019,9-Jan-19,6,,
2019,9-Jan-19,7,2.111,10
2019,9-Jan-19,8,10.502,563
2019,9-Jan-19,9,84.823,722
2019,9-Jan-19,10,189.725,801
2019,9-Jan-19,11,289.954,854
2019,9-Jan-19,12,285.064,849
2019,9-Jan-19,13,236.965,803
2019,9-Jan-19,14,182.115,792
2019,9-Jan-19,15,133.483,748
2019,9-Jan-19,16,66.341,731
2019,9-Jan-19,17,10.039,558
2019,9-Jan-19,18,,
2019,9-Jan-19,19,,
2019,9-Jan-19,20,,
2019,9-Jan-19,21,,
2019,9-Jan-19,22,,
2019,9-Jan-19,23,,
2019,9-Jan-19,24,,
2019,10-Jan-19,1,,
2019,10-Jan-19,2,,
2019,10-Jan-19,3,,
2019,10-Jan-19,4,,
2019,10-Jan-19,5,,
2019,10-Jan-19,6,,
2019,10-Jan-19,7,2.045,10
2019,10-Jan-19,8,10.394,621
2019,10-Jan-19,9,98.214,733
2019,10-Jan-19,10,168.404,775
2019,10-Jan-19,11,178.07,795
2019,10-Jan-19,12,211.28,825
2019,10-Jan-19,13,231.976,841
2019,10-Jan-19,14,269.667,827
2019,10-Jan-19,15,240.7,804
2019,10-Jan-19,16,100.357,733
2019,10-Jan-19,17,6.131,505
2019,10-Jan-19,18,,
2019,10-Jan-19,19,,
2019,10-Jan-19,20,,
2019,10-Jan-19,21,,
2019,10-Jan-19,22,,
2019,10-Jan-19,23,,
2019,10-Jan-19,24,,
2019,11-Jan-19,1,,
2019,11-Jan-19,2,,
2019,11-Jan-19,3,,
2019,11-Jan-19,4,,
2019,11-Jan-19,5,,
2019,11-Jan-19,6,,
2019,11-Jan-19,7,1.123,9
2019,11-Jan-19,8,17.763,655
2019,11-Jan-19,9,178.68,748
2019,11-Jan-19,10,467.755,907
2019,11-Jan-19,11,688.599,998
2019,11-Jan-19,12,763.125,1022
2019,11-Jan-19,13,685.713,1014
2019,11-Jan-19,14,534.042,946
2019,11-Jan-19,15,329.052,858
2019,11-Jan-19,16,101.302,744
2019,11-Jan-19,17,10.866,635
2019,11-Jan-19,18,,
2019,11-Jan-19,19,,
2019,11-Jan-19,20,,
2019,11-Jan-19,21,,
2019,11-Jan-19,22,,
2019,11-Jan-19,23,,
2019,11-Jan-19,24,,
2019,12-Jan-19,1,,
2019,12-Jan-19,2,,
2019,12-Jan-19,3,,
2019,12-Jan-19,4,,
2019,12-Jan-19,5,,
2019,12-Jan-19,6,,
2019,12-Jan-19,7,1.466,10
2019,12-Jan-19,8,17.355,672
2019,12-Jan-19,9,155.863,801
2019,12-Jan-19,10,400.268,987
2019,12-Jan-19,11,613.096,1069
2019,12-Jan-19,12,698.132,1098
2019,12-Jan-19,13,747.369,1105
2019,12-Jan-19,14,664.167,1086
2019,12-Jan-19,15,437.806,1011
2019,12-Jan-19,16,146.263,819
2019,12-Jan-19,17,7.038,563
2019,12-Jan-19,18,,
2019,12-Jan-19,19,,
2019,12-Jan-19,20,,
2019,12-Jan-19,21,,
2019,12-Jan-19,22,,
2019,12-Jan-19,23,,
2019,12-Jan-19,24,,
2019,13-Jan-19,1,,
2019,13-Jan-19,2,,
2019,13-Jan-19,3,,
2019,13-Jan-19,4,,
2019,13-Jan-19,5,,
2019,13-Jan-19,6,,
2019,13-Jan-19,7,1.064,10
2019,13-Jan-19,8,13.107,678
2019,13-Jan-19,9,104.952,805
2019,13-Jan-19,10,334.054,1003
2019,13-Jan-19,11,596.344,1092
2019,13-Jan-19,12,731.243,1112
2019,13-Jan-19,13,729.396,1111
2019,13-Jan-19,14,628.735,1099
2019,13-Jan-19,15,380.088,1019
2019,13-Jan-19,16,119.315,820
2019,13-Jan-19,17,11.382,590
2019,13-Jan-19,18,,
2019,13-Jan-19,19,,
2019,13-Jan-19,20,,
2019,13-Jan-19,21,,
2019,13-Jan-19,22,,
2019,13-Jan-19,23,,
2019,13-Jan-19,24,,
2019,14-Jan-19,1,,
2019,14-Jan-19,2,,
2019,14-Jan-19,3,,
2019,14-Jan-19,4,,
2019,14-Jan-19,5,,
2019,14-Jan-19,6,,
2019,14-Jan-19,7,1.292,11
2019,14-Jan-19,8,9.938,595
2019,14-Jan-19,9,102.263,731
2019,14-Jan-19,10,257.005,810
2019,14-Jan-19,11,402.517,877
2019,14-Jan-19,12,499.049,902
2019,14-Jan-19,13,534.199,923
2019,14-Jan-19,14,499.314,902
2019,14-Jan-19,15,351.708,844
2019,14-Jan-19,16,137.085,755
2019,14-Jan-19,17,11.59,591
2019,14-Jan-19,18,,
2019,14-Jan-19,19,,
2019,14-Jan-19,20,,
2019,14-Jan-19,21,,
2019,14-Jan-19,22,,
2019,14-Jan-19,23,,
2019,14-Jan-19,24,,
2019,15-Jan-19,1,,
2019,15-Jan-19,2,,
2019,15-Jan-19,3,,
2019,15-Jan-19,4,,
2019,15-Jan-19,5,,
2019,15-Jan-19,6,,
2019,15-Jan-19,7,1.706,11
2019,15-Jan-19,8,27.463,693
2019,15-Jan-19,9,176.023,767
2019,15-Jan-19,10,417.118,887
2019,15-Jan-19,11,611.801,967
2019,15-Jan-19,12,660.476,1003
2019,15-Jan-19,13,612.937,993
2019,15-Jan-19,14,499.499,929
2019,15-Jan-19,15,299.772,837
2019,15-Jan-19,16,118.063,742
2019,15-Jan-19,17,15.015,661
2019,15-Jan-19,18,,
2019,15-Jan-19,19,,
2019,15-Jan-19,20,,
2019,15-Jan-19,21,,
2019,15-Jan-19,22,,
2019,15-Jan-19,23,,
2019,15-Jan-19,24,,
2019,16-Jan-19,1,,
2019,16-Jan-19,2,,
2019,16-Jan-19,3,,
2019,16-Jan-19,4,,
2019,16-Jan-19,5,,
2019,16-Jan-19,6,,
2019,16-Jan-19,7,1.819,12
2019,16-Jan-19,8,20.247,671
2019,16-Jan-19,9,156.095,744
2019,16-Jan-19,10,293.959,850
2019,16-Jan-19,11,284.558,844
2019,16-Jan-19,12,271.741,839
2019,16-Jan-19,13,255.221,857
2019,16-Jan-19,14,212.424,790
2019,16-Jan-19,15,166.032,772
2019,16-Jan-19,16,89.106,733
2019,16-Jan-19,17,8.491,574
2019,16-Jan-19,18,,
2019,16-Jan-19,19,,
2019,16-Jan-19,20,,
2019,16-Jan-19,21,,
2019,16-Jan-19,22,,
2019,16-Jan-19,23,,
2019,16-Jan-19,24,,
2019,17-Jan-19,1,,
2019,17-Jan-19,2,,
2019,17-Jan-19,3,,
2019,17-Jan-19,4,,
2019,17-Jan-19,5,,
2019,17-Jan-19,6,,
2019,17-Jan-19,7,1.553,9
2019,17-Jan-19,8,18.069,673
2019,17-Jan-19,9,192.091,768
2019,17-Jan-19,10,498.938,909
2019,17-Jan-19,11,700.722,999
2019,17-Jan-19,12,746.78,1013
2019,17-Jan-19,13,690.219,1002
2019,17-Jan-19,14,581.409,956
2019,17-Jan-19,15,394.955,868
2019,17-Jan-19,16,142.946,744
2019,17-Jan-19,17,13.115,667
2019,17-Jan-19,18,,
2019,17-Jan-19,19,,
2019,17-Jan-19,20,,
2019,17-Jan-19,21,,
2019,17-Jan-19,22,,
2019,17-Jan-19,23,,
2019,17-Jan-19,24,,
2019,18-Jan-19,1,,
2019,18-Jan-19,2,,
2019,18-Jan-19,3,,
2019,18-Jan-19,4,,
2019,18-Jan-19,5,,
2019,18-Jan-19,6,,
2019,18-Jan-19,7,1.138,10
2019,18-Jan-19,8,6.688,542
2019,18-Jan-19,9,61.499,706
2019,18-Jan-19,10,144.563,767
2019,18-Jan-19,11,217.297,814
2019,18-Jan-19,12,313.686,894
2019,18-Jan-19,13,342.532,911
2019,18-Jan-19,14,292.978,885
2019,18-Jan-19,15,166.383,794
2019,18-Jan-19,16,73.122,714
2019,18-Jan-19,17,5.545,449
2019,18-Jan-19,18,,
2019,18-Jan-19,19,,
2019,18-Jan-19,20,,
2019,18-Jan-19,21,,
2019,18-Jan-19,22,,
2019,18-Jan-19,23,,
2019,18-Jan-19,24,,
2019,19-Jan-19,1,,
2019,19-Jan-19,2,,
2019,19-Jan-19,3,,
2019,19-Jan-19,4,,
2019,19-Jan-19,5,,
2019,19-Jan-19,6,,
2019,19-Jan-19,7,1.049,10
2019,19-Jan-19,8,24.125,686
