year,local_day,local_hour_end,tot_wind_mwh,_FREQ_
2019,1-Jan-19,1,683.931,52
2019,1-Jan-19,2,764.107,49
2019,1-Jan-19,3,799.717,49
2019,1-Jan-19,4,770.408,48
2019,1-Jan-19,5,665.267,47
2019,1-Jan-19,6,664.075,51
2019,1-Jan-19,7,606.473,52
2019,1-Jan-19,8,424.645,51
2019,1-Jan-19,9,491.792,52
2019,1-Jan-19,10,469.253,50
2019,1-Jan-19,11,488.382,51
2019,1-Jan-19,12,537.996,55
2019,1-Jan-19,13,684.512,53
2019,1-Jan-19,14,792.966,53
2019,1-Jan-19,15,833.1,54
2019,1-Jan-19,16,839.587,52
2019,1-Jan-19,17,886.678,51
2019,1-Jan-19,18,914.02,50
2019,1-Jan-19,19,919.705,50
2019,1-Jan-19,20,912.267,49
2019,1-Jan-19,21,888.996,45
2019,1-Jan-19,22,880.45,45
2019,1-Jan-19,23,830.703,46
2019,1-Jan-19,24,729.5,45
2019,2-Jan-19,1,565.012,46
2019,2-Jan-19,2,456.273,44
2019,2-Jan-19,3,429.9,45
2019,2-Jan-19,4,389.523,43
2019,2-Jan-19,5,387.941,43
2019,2-Jan-19,6,425.838,43
2019,2-Jan-19,7,480.871,45
2019,2-Jan-19,8,521.866,45
2019,2-Jan-19,9,423.361,44
2019,2-Jan-19,10,249.791,42
2019,2-Jan-19,11,162.878,37
2019,2-Jan-19,12,188.816,34
2019,2-Jan-19,13,156.853,30
2019,2-Jan-19,14,129.272,26
2019,2-Jan-19,15,90.838,27
2019,2-Jan-19,16,67.92,24
2019,2-Jan-19,17,80.433,27
2019,2-Jan-19,18,73.999,38
2019,2-Jan-19,19,63.21,36
2019,2-Jan-19,20,106.839,38
2019,2-Jan-19,21,171.187,40
2019,2-Jan-19,22,220.051,42
2019,2-Jan-19,23,224.507,45
2019,2-Jan-19,24,244.273,44
2019,3-Jan-19,1,289.18,47
2019,3-Jan-19,2,353.757,49
2019,3-Jan-19,3,474.324,49
2019,3-Jan-19,4,567.332,49
2019,3-Jan-19,5,537.428,45
2019,3-Jan-19,6,455.768,46
2019,3-Jan-19,7,426.986,49
2019,3-Jan-19,8,413.611,46
2019,3-Jan-19,9,409.888,46
2019,3-Jan-19,10,373.948,48
2019,3-Jan-19,11,283.812,50
2019,3-Jan-19,12,246.195,49
2019,3-Jan-19,13,205.129,52
2019,3-Jan-19,14,191.56,51
2019,3-Jan-19,15,204.372,49
2019,3-Jan-19,16,183.84,47
2019,3-Jan-19,17,191.915,45
2019,3-Jan-19,18,257.973,46
2019,3-Jan-19,19,276.784,47
2019,3-Jan-19,20,294.127,47
2019,3-Jan-19,21,270.958,46
2019,3-Jan-19,22,205.081,49
2019,3-Jan-19,23,196.32,46
2019,3-Jan-19,24,245.755,47
2019,4-Jan-19,1,282.585,46
2019,4-Jan-19,2,306.722,48
2019,4-Jan-19,3,302.566,50
2019,4-Jan-19,4,308.595,50
2019,4-Jan-19,5,353.822,49
2019,4-Jan-19,6,466.325,49
2019,4-Jan-19,7,550.524,50
2019,4-Jan-19,8,609.872,52
2019,4-Jan-19,9,547.304,52
2019,4-Jan-19,10,522.236,52
2019,4-Jan-19,11,482.455,52
2019,4-Jan-19,12,443.972,53
2019,4-Jan-19,13,392.545,54
2019,4-Jan-19,14,364.691,51
2019,4-Jan-19,15,375.259,52
2019,4-Jan-19,16,347.285,51
2019,4-Jan-19,17,387.891,53
2019,4-Jan-19,18,429.015,49
2019,4-Jan-19,19,381.716,50
2019,4-Jan-19,20,340.409,50
2019,4-Jan-19,21,303.348,50
2019,4-Jan-19,22,274.916,49
2019,4-Jan-19,23,229.834,48
2019,4-Jan-19,24,202.034,51
2019,5-Jan-19,1,205.864,49
2019,5-Jan-19,2,130.581,47
2019,5-Jan-19,3,86.772,42
2019,5-Jan-19,4,49.517,35
