"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"05/16/2018","05/13/2018","Actual","ALB",67,48,55,45
"05/16/2018","05/13/2018","Actual","ART",70,35,55,35
"05/16/2018","05/13/2018","Actual","BGM",52,42,48,42
"05/16/2018","05/13/2018","Actual","BUF",73,46,61,41
"05/16/2018","05/13/2018","Actual","ELM",55,47,54,47
"05/16/2018","05/13/2018","Actual","ELZ",57,47,56,46
"05/16/2018","05/13/2018","Actual","FOK",55,51,52,48
"05/16/2018","05/13/2018","Actual","FRG",53,50,52,49
"05/16/2018","05/13/2018","Actual","GFL",69,34,54,34
"05/16/2018","05/13/2018","Actual","HPN",52,48,50,46
"05/16/2018","05/13/2018","Actual","IAG",70,43,58,36
"05/16/2018","05/13/2018","Actual","ISP",54,50,52,49
"05/16/2018","05/13/2018","Actual","ITH",57,39,52,39
"05/16/2018","05/13/2018","Actual","JFK",54,51,53,51
"05/16/2018","05/13/2018","Actual","LGA",55,53,52,50
"05/16/2018","05/13/2018","Actual","MSS",74,37,53,37
"05/16/2018","05/13/2018","Actual","MSV",52,44,48,43
"05/16/2018","05/13/2018","Actual","NYC",54,52,52,50
"05/16/2018","05/13/2018","Actual","PLB",71,35,51,33
"05/16/2018","05/13/2018","Actual","POU",55,47,52,46
"05/16/2018","05/13/2018","Actual","ROC",69,43,60,41
"05/16/2018","05/13/2018","Actual","SLK",70,24,48,24
"05/16/2018","05/13/2018","Actual","SWF",54,48,53,48
"05/16/2018","05/13/2018","Actual","SYR",70,39,56,39
"05/16/2018","05/13/2018","Actual","UCA",71,44,56,44
"05/16/2018","05/14/2018","Actual","ALB",76,54,62,51
"05/16/2018","05/14/2018","Actual","ART",68,53,59,51
"05/16/2018","05/14/2018","Actual","BGM",74,49,61,48
"05/16/2018","05/14/2018","Actual","BUF",74,56,63,54
"05/16/2018","05/14/2018","Actual","ELM",81,54,66,53
"05/16/2018","05/14/2018","Actual","ELZ",74,56,64,56
"05/16/2018","05/14/2018","Actual","FOK",61,50,56,49
"05/16/2018","05/14/2018","Actual","FRG",64,51,60,50
"05/16/2018","05/14/2018","Actual","GFL",75,52,61,50
"05/16/2018","05/14/2018","Actual","HPN",68,50,61,49
"05/16/2018","05/14/2018","Actual","IAG",72,50,62,47
"05/16/2018","05/14/2018","Actual","ISP",63,50,58,50
"05/16/2018","05/14/2018","Actual","ITH",78,52,62,51
"05/16/2018","05/14/2018","Actual","JFK",63,51,59,51
"05/16/2018","05/14/2018","Actual","LGA",70,53,61,51
"05/16/2018","05/14/2018","Actual","MSS",77,49,59,49
"05/16/2018","05/14/2018","Actual","MSV",74,47,63,46
"05/16/2018","05/14/2018","Actual","NYC",70,52,63,51
"05/16/2018","05/14/2018","Actual","PLB",80,44,61,43
"05/16/2018","05/14/2018","Actual","POU",75,51,63,50
"05/16/2018","05/14/2018","Actual","ROC",75,52,64,51
"05/16/2018","05/14/2018","Actual","SLK",75,38,55,35
"05/16/2018","05/14/2018","Actual","SWF",75,52,66,52
"05/16/2018","05/14/2018","Actual","SYR",75,48,61,48
"05/16/2018","05/14/2018","Actual","UCA",74,54,60,51
"05/16/2018","05/15/2018","Actual","ALB",77,56,68,54
"05/16/2018","05/15/2018","Actual","ART",65,49,60,48
"05/16/2018","05/15/2018","Actual","BGM",73,55,65,52
"05/16/2018","05/15/2018","Actual","BUF",71,62,65,58
"05/16/2018","05/15/2018","Actual","ELM",78,53,69,53
"05/16/2018","05/15/2018","Actual","ELZ",73,54,67,53
"05/16/2018","05/15/2018","Actual","FOK",71,53,64,52
"05/16/2018","05/15/2018","Actual","FRG",76,56,69,56
"05/16/2018","05/15/2018","Actual","GFL",76,52,67,52
"05/16/2018","05/15/2018","Actual","HPN",83,57,70,57
"05/16/2018","05/15/2018","Actual","IAG",70,59,62,55
"05/16/2018","05/15/2018","Actual","ISP",76,56,68,56
"05/16/2018","05/15/2018","Actual","ITH",73,52,66,52
"05/16/2018","05/15/2018","Actual","JFK",73,56,67,56
"05/16/2018","05/15/2018","Actual","LGA",90,60,73,58
"05/16/2018","05/15/2018","Actual","MSS",68,48,61,46
"05/16/2018","05/15/2018","Actual","MSV",84,55,70,54
"05/16/2018","05/15/2018","Actual","NYC",88,60,73,59
"05/16/2018","05/15/2018","Actual","PLB",68,52,61,46
"05/16/2018","05/15/2018","Actual","POU",88,56,72,55
"05/16/2018","05/15/2018","Actual","ROC",68,57,65,56
"05/16/2018","05/15/2018","Actual","SLK",59,39,57,39
"05/16/2018","05/15/2018","Actual","SWF",88,61,75,59
"05/16/2018","05/15/2018","Actual","SYR",72,55,67,55
"05/16/2018","05/15/2018","Actual","UCA",71,55,67,54
"05/16/2018","05/16/2018","Forecast","ALB",70,50,60,49
"05/16/2018","05/16/2018","Forecast","ART",70,42,60,41
"05/16/2018","05/16/2018","Forecast","BGM",65,51,58,50
"05/16/2018","05/16/2018","Forecast","BUF",76,56,62,52
"05/16/2018","05/16/2018","Forecast","ELM",71,51,62,51
"05/16/2018","05/16/2018","Forecast","ELZ",68,50,61,49
"05/16/2018","05/16/2018","Forecast","FOK",64,53,63,52
"05/16/2018","05/16/2018","Forecast","FRG",66,55,62,54
"05/16/2018","05/16/2018","Forecast","GFL",70,46,59,45
"05/16/2018","05/16/2018","Forecast","HPN",61,55,58,54
"05/16/2018","05/16/2018","Forecast","IAG",73,50,61,46
"05/16/2018","05/16/2018","Forecast","ISP",65,55,64,54
"05/16/2018","05/16/2018","Forecast","ITH",70,48,61,47
"05/16/2018","05/16/2018","Forecast","JFK",67,56,66,55
"05/16/2018","05/16/2018","Forecast","LGA",66,59,61,56
"05/16/2018","05/16/2018","Forecast","MSS",73,42,59,37
"05/16/2018","05/16/2018","Forecast","MSV",61,51,57,50
"05/16/2018","05/16/2018","Forecast","NYC",64,59,60,56
"05/16/2018","05/16/2018","Forecast","PLB",72,42,58,36
"05/16/2018","05/16/2018","Forecast","POU",64,53,59,52
"05/16/2018","05/16/2018","Forecast","ROC",75,52,62,51
"05/16/2018","05/16/2018","Forecast","SLK",69,30,56,29
"05/16/2018","05/16/2018","Forecast","SWF",62,55,59,54
"05/16/2018","05/16/2018","Forecast","SYR",75,53,62,53
"05/16/2018","05/16/2018","Forecast","UCA",74,51,62,51
"05/16/2018","05/17/2018","Forecast","ALB",76,57,64,54
"05/16/2018","05/17/2018","Forecast","ART",68,50,56,43
"05/16/2018","05/17/2018","Forecast","BGM",71,55,62,54
"05/16/2018","05/17/2018","Forecast","BUF",72,56,61,51
"05/16/2018","05/17/2018","Forecast","ELM",76,56,63,54
"05/16/2018","05/17/2018","Forecast","ELZ",73,57,61,52
"05/16/2018","05/17/2018","Forecast","FOK",63,52,59,52
"05/16/2018","05/17/2018","Forecast","FRG",64,56,60,55
"05/16/2018","05/17/2018","Forecast","GFL",72,54,61,50
"05/16/2018","05/17/2018","Forecast","HPN",67,55,62,54
"05/16/2018","05/17/2018","Forecast","IAG",72,54,60,50
"05/16/2018","05/17/2018","Forecast","ISP",65,55,60,54
